eval_id,batch,eval_name,stage,tier,difficulty,rank,ws_pass,bs_pass,ws_expectation_rate,bs_expectation_rate,delta_expectation_pp
80,2,abstain-ripple-direct-dependency,hallucination-resistance,adversarial,medium,36,1,0,100.0,90.9,9.1
108,4,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,37,0,0,58.3,50.0,8.3
8,7,author-custom-pipeline-off-lfp,pipeline-authoring,baseline,hard,38,0,0,66.7,58.3,8.3
113,7,adversarial-update1-downstream-populated,destructive-operations,adversarial,medium,39,0,0,75.0,66.7,8.3
87,4,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,40,0,0,85.7,78.6,7.1
14,1,merge-key-trodes-position,pipeline-usage,merge-key-discovery,medium,41,1,1,100.0,100.0,0.0
15,1,merge-key-lfp-default,pipeline-usage,merge-key-discovery,medium,42,1,1,100.0,100.0,0.0
16,1,merge-key-decoding-clusterless,pipeline-usage,merge-key-discovery,medium,43,1,1,100.0,100.0,0.0
35,1,merge-empty-list-ambiguity,runtime-debugging,merge-table-gotchas,medium,44,1,1,100.0,100.0,0.0
49,1,merge-silent-wrong-count,runtime-debugging,merge-table-gotchas,medium,45,1,1,100.0,100.0,0.0
50,1,merge-method-misattribution,common-mistakes,merge-table-gotchas,easy,46,1,1,100.0,100.0,0.0
51,1,is-this-a-merge-lookalike,common-mistakes,merge-table-gotchas,easy,47,1,1,100.0,100.0,0.0
124,1,key-hygiene-singular-plural-typo,hallucination-resistance,schema-introspection,easy,48,1,1,100.0,100.0,0.0
127,1,key-hygiene-partial-populate-scope,pipeline-usage,disambiguation,medium,49,1,1,100.0,100.0,0.0
128,1,key-hygiene-v0-v1-cross-version,hallucination-resistance,disambiguation,medium,50,1,1,100.0,100.0,0.0
129,1,key-hygiene-custom-table-runtime-only,hallucination-resistance,schema-introspection,medium,51,1,1,100.0,100.0,0.0
5,2,merge-delete-classmethod-discard,common-mistakes,baseline,medium,52,1,1,100.0,100.0,0.0
7,2,framework-concepts-merge-tables,framework-concepts,table-classification,medium,53,1,1,100.0,100.0,0.0
21,2,adversarial-hallucination-resistance,hallucination-resistance,adversarial,easy,54,1,1,100.0,100.0,0.0
25,2,adversarial-too-loose-fetch1-pressure,common-mistakes,adversarial,medium,55,1,1,100.0,100.0,0.0
30,2,adversarial-copy-paste-params-blind,common-mistakes,parameter-semantics,medium,56,1,1,100.0,100.0,0.0
73,2,schema-pk-electrode,framework-concepts,schema-introspection,easy,57,1,1,100.0,100.0,0.0
74,2,schema-pk-firfilterparameters,framework-concepts,schema-introspection,easy,58,1,1,100.0,100.0,0.0
75,2,schema-dep-probe-electrode,framework-concepts,schema-introspection,easy,59,1,1,100.0,100.0,0.0
76,2,schema-dep-lfp-filter,framework-concepts,schema-introspection,easy,60,1,1,100.0,100.0,0.0
77,2,schema-part-tables-probe,framework-concepts,schema-introspection,easy,61,1,1,100.0,100.0,0.0
78,2,abstain-session-samplingrate,hallucination-resistance,adversarial,medium,62,1,1,100.0,100.0,0.0
96,2,dependency-downstream-decoding-output,framework-concepts,dependency-tracing,hard,63,1,1,100.0,100.0,0.0
97,2,dependency-abstract-upstream,framework-concepts,dependency-tracing,medium,64,1,1,100.0,100.0,0.0
109,2,group-tables-concept,framework-concepts,table-classification,medium,65,1,1,100.0,100.0,0.0
115,2,adversarial-monkeypatch-make,hallucination-resistance,adversarial,hard,66,1,1,100.0,100.0,0.0
122,2,hallucination-fetch-nwb-single,hallucination-resistance,adversarial,easy,67,1,1,100.0,100.0,0.0
123,2,hallucination-spyglass-compact,hallucination-resistance,adversarial,medium,68,1,1,100.0,100.0,0.0
6,3,run-lfp-v1-pipeline,pipeline-usage,baseline,medium,69,1,1,100.0,100.0,0.0
9,3,atomic-fetch-session-row,pipeline-usage,atomic-read,easy,70,1,1,100.0,100.0,0.0
10,3,atomic-fetch-session-attributes,pipeline-usage,atomic-read,easy,71,1,1,100.0,100.0,0.0
11,3,atomic-list-intervals-for-session,pipeline-usage,atomic-read,easy,72,1,1,100.0,100.0,0.0
12,3,atomic-count-electrodes,pipeline-usage,atomic-read,easy,73,1,1,100.0,100.0,0.0
13,3,atomic-trodes-position-dataframe,pipeline-usage,atomic-read,medium,74,1,1,100.0,100.0,0.0
17,3,join-sessions-with-ripples-and-decoding,pipeline-usage,joins,medium,75,1,1,100.0,100.0,0.0
18,3,join-sessions-trodes-but-no-dlc,pipeline-usage,joins,medium,76,1,1,100.0,100.0,0.0
19,3,count-tetrodes-per-session,pipeline-usage,joins,easy,77,1,1,100.0,100.0,0.0
26,3,compound-full-session-pipeline,pipeline-usage,compound,hard,78,1,1,100.0,100.0,0.0
28,3,brain-region-for-curated-sorting,pipeline-usage,joins,medium,79,1,1,100.0,100.0,0.0
29,3,brain-region-for-lfp-electrode,pipeline-usage,joins,medium,80,1,1,100.0,100.0,0.0
62,3,disamb-trodes-vs-dlc,pipeline-usage,disambiguation,medium,81,1,1,100.0,100.0,0.0
63,3,disamb-lfpselection-vs-electrodegroup,pipeline-usage,disambiguation,medium,82,1,1,100.0,100.0,0.0
64,3,disamb-spikesortingv0-vs-v1,pipeline-usage,disambiguation,easy,83,1,1,100.0,100.0,0.0
67,3,counterfactual-ripple-electrode-set,pipeline-usage,counterfactual,hard,84,1,1,100.0,100.0,0.0
68,3,counterfactual-two-users-empty,pipeline-usage,counterfactual,hard,85,1,1,100.0,100.0,0.0
69,3,workflow-next-after-spikesortingselection,pipeline-usage,workflow-position,medium,86,1,1,100.0,100.0,0.0
70,3,workflow-next-after-dlcmodeltraining,pipeline-usage,workflow-position,hard,87,1,1,100.0,100.0,0.0
71,3,dep-trace-decoding-output,pipeline-usage,dependency-tracing,hard,88,1,1,100.0,100.0,0.0
72,4,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,89,0,0,85.7,85.7,0.0
90,4,usage-after-lfpselection,pipeline-usage,table-usage,easy,90,1,1,100.0,100.0,0.0
91,4,usage-after-trodes-pos-selection,pipeline-usage,table-usage,easy,91,1,1,100.0,100.0,0.0
92,4,usage-after-positionoutput-row,pipeline-usage,table-usage,easy,92,1,1,100.0,100.0,0.0
93,4,usage-after-lfpbandv1-row,pipeline-usage,table-usage,easy,93,1,1,100.0,100.0,0.0
98,4,hidden-prereq-ripple-populate,pipeline-usage,dependency-tracing,medium,94,1,1,100.0,100.0,0.0
99,4,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,95,0,0,90.0,90.0,0.0
103,4,session-subject-owner,pipeline-usage,joins,medium,96,1,1,100.0,100.0,0.0
105,4,camera-devices-lookup,pipeline-usage,atomic-read,easy,97,0,0,88.9,88.9,0.0
57,5,param-target-sampling-rate,parameter-understanding,parameter-semantics,hard,98,1,1,100.0,100.0,0.0
58,5,param-speed-threshold-ripple,parameter-understanding,parameter-semantics,medium,99,1,1,100.0,100.0,0.0
59,5,param-encoding-vs-decoding-interval,parameter-understanding,parameter-semantics,medium,100,1,1,100.0,100.0,0.0
60,5,param-trodes-smoothing,parameter-understanding,parameter-semantics,hard,101,0,0,83.3,83.3,0.0
117,5,counterfactual-sort-interval-change,parameter-understanding,counterfactual,hard,102,1,1,100.0,100.0,0.0
3,6,fetch1-cardinality-error,runtime-debugging,baseline,easy,103,1,1,100.0,100.0,0.0
4,6,populate-fails-halfway-through,runtime-debugging,baseline,hard,104,1,1,100.0,100.0,0.0
27,6,compound-decoding-populate-fail-triage,runtime-debugging,compound,hard,105,1,1,100.0,100.0,0.0
31,6,env-spikeinterface-drift,runtime-debugging,environment-triage,medium,106,1,1,100.0,100.0,0.0
36,6,runtime-populate-non-pk-dict,runtime-debugging,runtime-errors,easy,107,1,1,100.0,100.0,0.0
37,6,runtime-dlc-positionintervalmap,runtime-debugging,runtime-errors,hard,108,1,1,100.0,100.0,0.0
38,6,runtime-decoding-oom,runtime-debugging,runtime-errors,medium,109,1,1,100.0,100.0,0.0
39,6,runtime-clusterless-contact-unique,runtime-debugging,runtime-errors,medium,110,1,1,100.0,100.0,0.0
43,6,runtime-fk-ancestor-missing,runtime-debugging,runtime-errors,medium,111,1,1,100.0,100.0,0.0
44,6,runtime-populate-all-common-silent,runtime-debugging,runtime-errors,medium,112,1,1,100.0,100.0,0.0
48,6,runtime-positiongroup-variable-mismatch,runtime-debugging,runtime-errors,hard,113,1,1,100.0,100.0,0.0
52,6,runtime-join-dependent-attribute,runtime-debugging,runtime-errors,medium,114,1,1,100.0,100.0,0.0
65,6,resource-first-ref-fetch1,runtime-debugging,resource-selection,easy,115,1,1,100.0,100.0,0.0
84,6,recover-partial-populate-common,runtime-debugging,workflow-recovery,hard,116,1,1,100.0,100.0,0.0
86,6,counterfactual-decoding-noise-divergence,runtime-debugging,counterfactual,hard,117,1,1,100.0,100.0,0.0
101,6,recovery-populate-partial-electrodes,runtime-debugging,workflow-recovery,hard,118,1,1,100.0,100.0,0.0
119,6,permission-error-analysis-nwbfile-write,runtime-debugging,runtime-errors,medium,119,1,1,100.0,100.0,0.0
120,6,slow-fetch-db-lock,runtime-debugging,runtime-errors,medium,120,1,1,100.0,100.0,0.0
20,7,adversarial-non-activation-pynwb,non-activation,adversarial,easy,121,1,1,100.0,100.0,0.0
23,7,adversarial-destructive-skip-dry-run,destructive-operations,adversarial,medium,122,1,1,100.0,100.0,0.0
24,7,adversarial-skip-cautious-delete,destructive-operations,adversarial,medium,123,0,0,83.3,83.3,0.0
46,7,env-editable-install-drift,setup,environment-triage,medium,124,1,1,100.0,100.0,0.0
54,7,classify-trodesposparams-vs-selection,table-understanding,table-classification,medium,125,1,1,100.0,100.0,0.0
66,7,resource-first-ref-merge-delete,destructive-operations,resource-selection,easy,126,1,1,100.0,100.0,0.0
112,7,adversarial-edit-dlcposv1,pipeline-authoring,adversarial,medium,127,0,0,62.5,62.5,0.0
106,4,compound-pfc-wtrack,pipeline-usage,compound,hard,128,0,1,93.3,100.0,-6.7
118,5,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,129,0,1,71.4,100.0,-28.6
41,7,config-key-error-after-pull,setup,config-troubleshooting,medium,130,0,0,14.3,42.9,-28.6
